id,speaker,headline,month_filmed,year_filmed,event,duration,date_published,views_as_of_06162017
589,Daniel Libeskind,17 words of architectural inspiration,2,2009,TED2009,0:18:36,7/1/2009,755486
590,Eames Demetrios,The design genius of Charles + Ray Eames,3,2007,TED2007,0:15:08,7/6/2009,584913
591,Tom Wujec,3 ways the brain creates meaning,2,2009,TED2009,0:06:26,7/7/2009,1005564
592,Sophal Ear,Escaping the Khmer Rouge,2,2009,TED2009,0:05:57,7/8/2009,475590
594,Kary Mullis,A next-gen cure for killer infections,2,2009,TED2009,0:04:35,7/9/2009,619138
598,Stewart Brand,4 environmental 'heresies',6,2009,TED@State,0:16:42,7/13/2009,636748
599,Olafur Eliasson,Playing with space and light,2,2009,TED2009,0:09:36,7/14/2009,513183
601,Daniel Kraft,A better way to harvest bone marrow,2,2009,TED2009,0:04:14,7/15/2009,458468
602,Jim Fallon,Exploring the mind of a killer,2,2009,TED2009,0:06:32,7/16/2009,2003560
603,Nina Jablonski,Skin color is an illusion,2,2009,TED2009,0:14:48,7/17/2009,978451
604,Gordon Brown,Wiring a web for global good,7,2009,TEDGlobal 2009,0:16:43,7/21/2009,800946
605,Alain de Botton,"A kinder, gentler philosophy of success",7,2009,TEDGlobal 2009,0:16:51,7/28/2009,5512673
606,Golan Levin,Art that looks back at you,2,2009,TED2009,0:15:33,7/30/2009,767269
607,Elaine Morgan,I believe we evolved from aquatic apes,7,2009,TEDGlobal 2009,0:17:13,7/31/2009,1030521
608,Paul Romer,Why the world needs charter cities,7,2009,TEDGlobal 2009,0:18:29,8/5/2009,567962
610,Willard Wigan,Hold your breath for micro-sculpture,7,2009,TEDGlobal 2009,0:19:43,8/3/2009,632691
613,Michael Pritchard,How to make filthy water drinkable,7,2009,TEDGlobal 2009,0:09:31,8/4/2009,3483071
614,Janine Benyus,Biomimicry in action,7,2009,TEDGlobal 2009,0:17:42,8/6/2009,1096346
615,Emmanuel Jal,The music of a war child,7,2009,TEDGlobal 2009,0:18:03,8/7/2009,763040
618,Dan Pink,The puzzle of motivation,7,2009,TEDGlobal 2009,0:18:36,8/24/2009,18253944
619,Eric Giler,A demo of wireless electricity,7,2009,TEDGlobal 2009,0:10:09,8/25/2009,2076272
