Year,Tm,Lg,G,W,L,Ties,WL,pythWL,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,TopPlayer,Managers,current
1929,Chicago White Sox,AL,152,59,93,0,0.388,0.395,7th of 8,46,,627,792,"426,795",26.8,29.1,T.Thomas (4.7),L.Blackburne (59-93),Chicago White Sox
1928,Chicago White Sox,AL,155,72,82,1,0.468,0.454,5th of 8,29,,656,725,"494,152",27.4,29.3,T.Thomas (7.0),R.Schalk (32-42) and L.Blackburne (40-40),Chicago White Sox
1927,Chicago White Sox,AL,153,70,83,0,0.458,0.469,5th of 8,39.5,,662,708,"614,423",27.9,28.3,T.Lyons (8.1),R.Schalk (70-83),Chicago White Sox
1926,Chicago White Sox,AL,155,81,72,2,0.529,0.543,5th of 8,9.5,,730,665,"710,339",28.9,28.1,J.Mostil (6.3),E.Collins (81-72),Chicago White Sox
1925,Chicago White Sox,AL,154,79,75,0,0.513,0.524,5th of 8,18.5,,811,770,"832,231",29.8,27.5,T.Blankenship (5.7),E.Collins (79-75),Chicago White Sox
1924,Chicago White Sox,AL,154,66,87,1,0.431,0.464,8th of 8,25.5,,793,858,"606,658",28.7,26.2,E.Collins (5.2),"J.Evers (51-72), E.Walsh (1-2) and E.Collins (14-13)",Chicago White Sox
1923,Chicago White Sox,AL,156,69,85,2,0.448,0.469,7th of 8,30,,692,741,"573,778",28.8,26.3,E.Collins (6.3),K.Gleason (69-85),Chicago White Sox
1922,Chicago White Sox,AL,155,77,77,1,0.5,0.5,5th of 8,17,,691,691,"602,860",29.8,27.6,R.Faber (9.4),K.Gleason (77-77),Chicago White Sox
1921,Chicago White Sox,AL,154,62,92,0,0.403,0.397,7th of 8,36.5,,683,858,"543,650",28.6,27.5,R.Faber (11.0),K.Gleason (62-92),Chicago White Sox
1920,Chicago White Sox,AL,154,96,58,0,0.623,0.58,2nd of 8,2,,794,665,"833,492",29.4,29.6,E.Collins (7.9),K.Gleason (96-58),Chicago White Sox
1919,Chicago White Sox,AL,140,88,52,0,0.629,0.6,1st of 8,--,Lost WS (5-3),667,534,"627,186",28.6,29.3,E.Cicotte (9.5),K.Gleason (88-52),Chicago White Sox
1918,Chicago White Sox,AL,124,57,67,0,0.46,0.511,6th of 8,17,,457,446,"195,081",27.6,28.6,E.Cicotte (3.5),P.Rowland (57-67),Chicago White Sox
1917,Chicago White Sox,AL,156,100,54,2,0.649,0.654,1st of 8,--,Won WS (4-2),655,463,"684,521",26.8,28.6,E.Cicotte (11.5),P.Rowland (100-54),Chicago White Sox
1916,Chicago White Sox,AL,155,89,65,1,0.578,0.586,2nd of 8,2,,601,497,"679,923",26.6,27.4,S.Jackson (7.0),P.Rowland (89-65),Chicago White Sox
1915,Chicago White Sox,AL,155,93,61,1,0.604,0.652,3rd of 8,9.5,,717,509,"539,461",25.4,27.7,E.Collins (9.4),P.Rowland (93-61),Chicago White Sox
1914,Chicago White Sox,AL,157,70,84,3,0.455,0.436,6th of 8,30,,487,560,"469,290",25.8,26.8,E.Cicotte (3.9),J.Callahan (70-84),Chicago White Sox
1913,Chicago White Sox,AL,153,78,74,1,0.513,0.491,5th of 8,17.5,,488,498,"644,501",25.9,26.9,R.Russell (9.1),J.Callahan (78-74),Chicago White Sox
1912,Chicago White Sox,AL,158,78,76,4,0.506,0.494,4th of 8,28,,639,648,"602,241",27,28.2,E.Walsh (12.2),J.Callahan (78-76),Chicago White Sox
1911,Chicago White Sox,AL,154,77,74,3,0.51,0.564,4th of 8,24,,718,624,"583,208",29,28.1,E.Walsh (9.1),H.Duffy (77-74),Chicago White Sox
1910,Chicago White Sox,AL,156,68,85,3,0.444,0.479,6th of 8,35.5,,457,479,"552,084",27.1,28.2,E.Walsh (11.4),H.Duffy (68-85),Chicago White Sox
1909,Chicago White Sox,AL,159,78,74,7,0.513,0.527,4th of 8,20,,492,464,"478,400",29.7,26.8,F.Smith (7.2),B.Sullivan (78-74),Chicago White Sox
1908,Chicago White Sox,AL,156,88,64,4,0.579,0.561,3rd of 8,1.5,,537,470,"636,096",31.6,28,E.Walsh (10.5),F.Jones (88-64),Chicago White Sox
1907,Chicago White Sox,AL,157,87,64,6,0.576,0.597,3rd of 8,5.5,,588,474,"666,307",30.9,27.5,E.Walsh (7.6),F.Jones (87-64),Chicago White Sox
1906,Chicago White Sox,AL,154,93,58,3,0.616,0.597,1st of 8,--,Won WS (4-2),570,460,"585,202",29.5,26.8,D.White (6.7),F.Jones (93-58),Chicago White Sox
1905,Chicago White Sox,AL,158,92,60,6,0.605,0.636,2nd of 8,2,,612,451,"687,419",29.5,25.9,G.Davis (7.2),F.Jones (92-60),Chicago White Sox
1904,Chicago White Sox,AL,156,89,65,2,0.578,0.599,3rd of 8,6,,600,482,"557,123",28.5,25.3,G.Davis (7.2),J.Callahan (23-18) and F.Jones (66-47),Chicago White Sox
1903,Chicago White Sox,AL,138,60,77,1,0.438,0.422,7th of 8,30.5,,516,613,"286,183",27.8,25.6,D.White (5.4),J.Callahan (60-77),Chicago White Sox
1902,Chicago White Sox,AL,138,74,60,4,0.552,0.552,4th of 8,8,,675,602,"337,898",28.6,27.7,G.Davis (5.7),C.Griffith (74-60),Chicago White Sox
1901,Chicago White Sox,AL,137,83,53,1,0.61,0.617,1st of 8,--,,819,631,"354,350",30.3,26.6,C.Griffith (7.2),C.Griffith (83-53),Chicago White Sox
2016,Cincinnati Reds,NL Central,162,68,94,0,0.42,0.42,5th of 5,35.5,,716,854,"1,894,085",27.8,27.1,J.Votto (4.0),B.Price (68-94),Cincinnati Reds
2015,Cincinnati Reds,NL Central,162,64,98,0,0.395,0.426,5th of 5,36,,640,754,"2,419,506",29.5,27.3,J.Votto (7.6),B.Price (64-98),Cincinnati Reds
2014,Cincinnati Reds,NL Central,162,76,86,0,0.469,0.487,4th of 5,14,,595,612,"2,476,664",29,28,J.Cueto (6.4),B.Price (76-86),Cincinnati Reds
2013,Cincinnati Reds,NL Central,162,90,72,0,0.556,0.577,3rd of 5,7,Lost NLWC (1-0),698,589,"2,492,101",28.5,27.7,J.Votto (6.6),D.Baker (90-72),Cincinnati Reds
2012,Cincinnati Reds,NL Central,162,97,65,0,0.599,0.559,1st of 6,--,Lost LDS (3-2),669,588,"2,347,251",28.8,27.1,J.Votto (5.9),D.Baker (97-65),Cincinnati Reds
2011,Cincinnati Reds,NL Central,162,79,83,0,0.488,0.509,3rd of 6,17,,735,720,"2,213,588",28.6,27.7,J.Votto (6.3),D.Baker (79-83),Cincinnati Reds
2010,Cincinnati Reds,NL Central,162,91,71,0,0.562,0.565,1st of 6,--,Lost LDS (3-0),790,685,"2,060,550",29,28.2,J.Votto (6.9),D.Baker (91-71),Cincinnati Reds
2009,Cincinnati Reds,NL Central,162,78,84,0,0.481,0.467,4th of 6,13,,673,723,"1,747,919",27.9,29,J.Votto (4.8),D.Baker (78-84),Cincinnati Reds
2008,Cincinnati Reds,NL Central,162,74,88,0,0.457,0.442,5th of 6,23.5,,704,800,"2,058,632",28.6,28.7,E.Volquez (4.6),D.Baker (74-88),Cincinnati Reds
2007,Cincinnati Reds,NL Central,162,72,90,0,0.444,0.461,5th of 6,13,,783,853,"2,058,593",29.7,29.1,A.Harang (5.5),J.Narron (31-51) and P.Mackanin (41-39),Cincinnati Reds
2006,Cincinnati Reds,NL Central,162,80,82,0,0.494,0.469,3rd of 6,3.5,,749,801,"2,134,607",29.6,29.5,B.Arroyo (7.0),J.Narron (80-82),Cincinnati Reds
2005,Cincinnati Reds,NL Central,163,73,89,1,0.451,0.463,5th of 6,27,,820,889,"1,943,067",28.6,28.9,F.Lopez (4.2),D.Miley (27-43) and J.Narron (46-46),Cincinnati Reds
2004,Cincinnati Reds,NL Central,162,76,86,0,0.469,0.414,4th of 6,29,,750,907,"2,287,250",28.4,28.5,A.Dunn (4.7),D.Miley (76-86),Cincinnati Reds
2003,Cincinnati Reds,NL Central,162,69,93,0,0.426,0.39,5th of 6,19,,694,886,"2,355,259",27.3,28,J.Guillen (4.7),"B.Boone (46-58), R.Knight (1-0) and D.Miley (22-35)",Cincinnati Reds
2002,Cincinnati Reds,NL Central,162,78,84,0,0.481,0.46,3rd of 6,19,,709,774,"1,855,787",27.7,28.7,E.Dessens (4.3),B.Boone (78-84),Cincinnati Reds
2001,Cincinnati Reds,NL Central,162,66,96,0,0.407,0.434,5th of 6,27,,735,850,"1,879,757",28,27.4,E.Dessens (4.5),B.Boone (66-96),Cincinnati Reds
2000,Cincinnati Reds,NL Central,163,85,77,1,0.525,0.534,2nd of 6,10,,825,765,"2,577,371",29.2,28.5,K.Griffey (5.5),J.McKeon (85-77),Cincinnati Reds
1999,Cincinnati Reds,NL Central,163,96,67,0,0.589,0.589,2nd of 6,1.5,,865,711,"2,061,222",28.3,28,M.Cameron (5.5),J.McKeon (96-67),Cincinnati Reds
1998,Cincinnati Reds,NL Central,162,77,85,0,0.475,0.494,4th of 6,25,,750,760,"1,793,649",27.5,28,B.Larkin (5.7),J.McKeon (77-85),Cincinnati Reds
1997,Cincinnati Reds,NL Central,162,76,86,0,0.469,0.427,3rd of 5,8,,651,764,"1,785,788",28.2,29.6,J.Shaw (3.6),R.Knight (43-56) and J.McKeon (33-30),Cincinnati Reds
1996,Cincinnati Reds,NL Central,162,81,81,0,0.5,0.503,3rd of 5,7,,778,773,"1,861,428",29.3,29.2,B.Larkin (7.2),R.Knight (81-81),Cincinnati Reds
1995,Cincinnati Reds,NL Central,144,85,59,0,0.59,0.582,1st of 5,--,Lost NLCS (4-0),747,623,"1,837,649",28.4,28.3,R.Sanders (6.6),D.Johnson (85-59),Cincinnati Reds
1994,Cincinnati Reds,NL Central,115,66,48,1,0.579,0.598,1st of 5,--,,609,490,"1,897,681",28.5,27.2,B.Larkin (3.9),D.Johnson (66-48),Cincinnati Reds
1993,Cincinnati Reds,NL West,162,73,89,0,0.451,0.462,5th of 7,31,,722,785,"2,453,232",28.4,27.9,J.Rijo (10.2),T.Perez (20-24) and D.Johnson (53-65),Cincinnati Reds
1992,Cincinnati Reds,NL West,162,90,72,0,0.556,0.537,2nd of 6,8,,660,609,"2,315,946",27.9,28.1,J.Rijo (5.9),L.Piniella (90-72),Cincinnati Reds
1991,Cincinnati Reds,NL West,162,74,88,0,0.457,0.499,5th of 6,20,,689,691,"2,372,377",28.2,27.6,B.Larkin (6.1),L.Piniella (74-88),Cincinnati Reds
1990,Cincinnati Reds,NL West,162,91,71,0,0.562,0.568,1st of 6,--,Won WS (4-0),693,597,"2,400,892",27.5,27.4,J.Rijo (5.8),L.Piniella (91-71),Cincinnati Reds
1989,Cincinnati Reds,NL West,162,75,87,0,0.463,0.459,5th of 6,17,,632,691,"1,979,320",28,28.1,R.Dibble (3.9),P.Rose (59-66) and T.Helms (16-21),Cincinnati Reds
1988,Cincinnati Reds,NL West,161,87,74,0,0.54,0.533,2nd of 6,7,,641,596,"2,072,528",27.5,26.7,B.Larkin (7.0),P.Rose (75-59) and T.Helms (12-15),Cincinnati Reds
1987,Cincinnati Reds,NL West,162,84,78,0,0.519,0.518,2nd of 6,6,,783,752,"2,185,205",28.9,28.3,E.Davis (7.9),P.Rose (84-78),Cincinnati Reds
1986,Cincinnati Reds,NL West,162,86,76,0,0.531,0.509,2nd of 6,10,,732,717,"1,692,432",30.8,27.9,E.Davis (5.3),P.Rose (86-76),Cincinnati Reds
1985,Cincinnati Reds,NL West,162,89,72,1,0.553,0.507,2nd of 6,5.5,,677,666,"1,834,619",31.5,26.4,D.Parker (4.7),P.Rose (89-72),Cincinnati Reds
1984,Cincinnati Reds,NL West,162,70,92,0,0.432,0.421,5th of 6,22,,627,747,"1,275,887",29.3,26.2,M.Soto (4.9),V.Rapp (51-70) and P.Rose (19-22),Cincinnati Reds
1983,Cincinnati Reds,NL West,162,74,88,0,0.457,0.44,6th of 6,17,,623,710,"1,190,419",27.9,26.5,M.Soto (6.7),R.Nixon (74-88),Cincinnati Reds
1982,Cincinnati Reds,NL West,162,61,101,0,0.377,0.413,6th of 6,28,,545,661,"1,326,528",28.4,27.2,M.Soto (7.7),J.McNamara (34-58) and R.Nixon (27-43),Cincinnati Reds
1981,Cincinnati Reds,NL West,108,66,42,0,0.611,0.524,1st of 6,--,,464,440,"1,093,730",29.3,26.8,T.Seaver (4.4),J.McNamara (66-42),Cincinnati Reds
1980,Cincinnati Reds,NL West,163,89,73,1,0.549,0.525,3rd of 6,3.5,,707,670,"2,022,450",28.6,26,G.Foster (4.0),J.McNamara (89-73),Cincinnati Reds
1979,Cincinnati Reds,NL West,161,90,71,0,0.559,0.558,1st of 6,--,Lost NLCS (3-0),731,644,"2,356,933",29.4,28.5,J.Bench (5.6),J.McNamara (90-71),Cincinnati Reds
1978,Cincinnati Reds,NL West,161,92,69,0,0.571,0.514,2nd of 6,2.5,,710,688,"2,532,497",29.9,28.3,G.Foster (4.8),S.Anderson (92-69),Cincinnati Reds
1977,Cincinnati Reds,NL West,162,88,74,0,0.543,0.546,2nd of 6,10,,802,725,"2,519,670",29.5,29.1,G.Foster (8.4),S.Anderson (88-74),Cincinnati Reds
1976,Cincinnati Reds,NL West,162,102,60,0,0.63,0.635,1st of 6,--,Won WS (4-0),857,633,"2,629,708",29.1,27.2,J.Morgan (9.6),S.Anderson (102-60),Cincinnati Reds
1975,Cincinnati Reds,NL West,162,108,54,0,0.667,0.659,1st of 6,--,Won WS (4-3),840,586,"2,315,603",28.4,27.6,J.Morgan (10.9),S.Anderson (108-54),Cincinnati Reds
1974,Cincinnati Reds,NL West,163,98,64,1,0.605,0.594,2nd of 6,4,,776,631,"2,164,307",27.7,27.3,J.Morgan (8.6),S.Anderson (98-64),Cincinnati Reds
1973,Cincinnati Reds,NL West,162,99,63,0,0.611,0.58,1st of 6,--,Lost NLCS (3-2),741,621,"2,017,601",27.7,26.7,J.Morgan (9.2),S.Anderson (99-63),Cincinnati Reds
1972,Cincinnati Reds,NL West,154,95,59,0,0.617,0.607,1st of 6,--,Lost WS (4-3),707,557,"1,611,459",27.2,25.5,J.Morgan (9.3),S.Anderson (95-59),Cincinnati Reds
1971,Cincinnati Reds,NL West,162,79,83,0,0.488,0.504,4th of 6,11,,586,581,"1,501,122",26.8,25.1,L.May (5.4),S.Anderson (79-83),Cincinnati Reds
1970,Cincinnati Reds,NL West,162,102,60,0,0.63,0.559,1st of 6,--,Lost WS (4-1),775,681,"1,803,568",25.9,25.2,J.Bench (7.4),S.Anderson (102-60),Cincinnati Reds
1969,Cincinnati Reds,NL West,163,89,73,1,0.549,0.518,3rd of 6,4,,798,768,"987,991",26.3,27.3,P.Rose (6.6),D.Bristol (89-73),Cincinnati Reds
1968,Cincinnati Reds,NL,163,83,79,1,0.512,0.511,4th of 10,14,,690,673,"733,354",26.5,27.1,T.Perez (5.9),D.Bristol (83-79),Cincinnati Reds
1967,Cincinnati Reds,NL,162,87,75,0,0.537,0.532,4th of 10,14.5,,604,563,"958,300",26.6,26.3,G.Nolan (6.1),D.Bristol (87-75),Cincinnati Reds
1966,Cincinnati Reds,NL,160,76,84,0,0.475,0.493,7th of 10,18,,692,702,"742,958",26.3,27.5,J.Maloney (7.4),D.Heffner (37-46) and D.Bristol (39-38),Cincinnati Reds
1965,Cincinnati Reds,NL,162,89,73,0,0.549,0.572,4th of 10,8,,825,704,"1,047,824",26.2,27.2,J.Maloney (9.0),D.Sisler (89-73),Cincinnati Reds
1964,Cincinnati Reds,NL,163,92,70,1,0.568,0.57,2nd of 10,1,,660,566,"862,466",26.1,28.5,F.Robinson (7.9),F.Hutchinson (60-49) and D.Sisler (32-21),Cincinnati Reds
1963,Cincinnati Reds,NL,162,86,76,0,0.531,0.54,5th of 10,13,,648,594,"858,805",26.4,29.2,V.Pinson (6.4),F.Hutchinson (86-76),Cincinnati Reds
1962,Cincinnati Reds,NL,162,98,64,0,0.605,0.572,3rd of 10,3.5,,802,685,"982,095",27.2,28.4,F.Robinson (8.7),F.Hutchinson (98-64),Cincinnati Reds
1961,Cincinnati Reds,NL,154,93,61,0,0.604,0.538,1st of 8,--,Lost WS (4-1),710,653,"1,117,603",26.9,26.5,F.Robinson (7.7),F.Hutchinson (93-61),Cincinnati Reds
1960,Cincinnati Reds,NL,154,67,87,0,0.435,0.464,6th of 8,28,,640,692,"663,486",27.3,28.1,F.Robinson (6.2),F.Hutchinson (67-87),Cincinnati Reds
1959,Cincinnati Redlegs,NL,154,74,80,0,0.481,0.516,5th of 8,13,,764,738,"801,298",28,28.8,D.Newcombe (6.7),M.Smith (35-45) and F.Hutchinson (39-35),Cincinnati Reds
1958,Cincinnati Redlegs,NL,154,76,78,0,0.494,0.551,4th of 8,16,,695,621,"788,582",29.6,30.4,B.Purkey (4.5),B.Tebbetts (52-61) and J.Dykes (24-17),Cincinnati Reds
1957,Cincinnati Redlegs,NL,154,80,74,0,0.519,0.48,4th of 8,15,,747,781,"1,070,850",28.6,29.4,F.Robinson (6.9),B.Tebbetts (80-74),Cincinnati Reds
1956,Cincinnati Redlegs,NL,155,91,63,1,0.591,0.574,3rd of 8,2,,775,658,"1,125,928",27.7,29.5,F.Robinson (6.5),B.Tebbetts (91-63),Cincinnati Reds
1955,Cincinnati Redlegs,NL,154,75,79,0,0.487,0.549,5th of 8,23.5,,761,684,"693,662",27.8,28.4,W.Post (5.3),B.Tebbetts (75-79),Cincinnati Reds
1954,Cincinnati Redlegs,NL,154,74,80,0,0.481,0.479,5th of 8,23,,729,763,"704,167",27,28.3,T.Kluszewski (7.9),B.Tebbetts (74-80),Cincinnati Reds
1953,Cincinnati Reds,NL,155,68,86,1,0.442,0.455,6th of 8,37,,714,788,"548,086",27.2,28.2,T.Kluszewski (4.9),R.Hornsby (64-82) and B.Mills (4-4),Cincinnati Reds
1952,Cincinnati Reds,NL,154,69,85,0,0.448,0.468,6th of 8,27.5,,615,659,"604,197",28,28.4,K.Raffensberger (5.7),"L.Sewell (39-59), E.Brucker (3-2) and R.Hornsby (27-24)",Cincinnati Reds
1951,Cincinnati Reds,NL,155,68,86,1,0.442,0.42,6th of 8,28.5,,559,667,"588,268",28.1,29.3,E.Blackwell (4.5),L.Sewell (68-86),Cincinnati Reds
1950,Cincinnati Reds,NL,153,66,87,0,0.431,0.447,6th of 8,24.5,,654,734,"538,794",27.5,27.8,E.Blackwell (6.9),L.Sewell (66-87),Cincinnati Reds
1949,Cincinnati Reds,NL,156,62,92,2,0.403,0.407,7th of 8,35,,627,770,"707,782",28.6,27.8,K.Raffensberger (5.2),B.Walters (61-90) and L.Sewell (1-2),Cincinnati Reds
1948,Cincinnati Reds,NL,153,64,89,0,0.418,0.39,7th of 8,27,,588,751,"823,386",28.4,28.3,J.Vander Meer (5.3),J.Neun (44-56) and B.Walters (20-33),Cincinnati Reds
1947,Cincinnati Reds,NL,154,73,81,0,0.474,0.453,5th of 8,21,,681,755,"899,975",28.8,27.9,E.Blackwell (8.7),J.Neun (73-81),Cincinnati Reds
1946,Cincinnati Reds,NL,156,67,87,2,0.435,0.461,6th of 8,30,,523,570,"715,751",28.4,31.5,J.Beggs (3.5),B.McKechnie (64-86) and H.Gowdy (3-1),Cincinnati Reds
1945,Cincinnati Reds,NL,154,61,93,0,0.396,0.384,7th of 8,37,,536,694,"290,070",29.2,32.9,B.Walters (4.5),B.McKechnie (61-93),Cincinnati Reds
1944,Cincinnati Reds,NL,155,89,65,1,0.578,0.53,3rd of 8,16,,573,537,"409,567",30.4,31.7,F.McCormick (6.1),B.McKechnie (89-65),Cincinnati Reds
1943,Cincinnati Reds,NL,155,87,67,1,0.565,0.552,2nd of 8,18,,608,543,"379,122",30,31.6,L.Frey (4.5),B.McKechnie (87-67),Cincinnati Reds
1942,Cincinnati Reds,NL,154,76,76,2,0.5,0.485,4th of 8,29,,527,545,"427,031",28.7,31.2,L.Frey (5.2),B.McKechnie (76-76),Cincinnati Reds
1941,Cincinnati Reds,NL,154,88,66,0,0.571,0.54,3rd of 8,12,,616,564,"643,513",28.8,29.8,B.Walters (7.0),B.McKechnie (88-66),Cincinnati Reds
1940,Cincinnati Reds,NL,155,100,53,2,0.654,0.63,1st of 8,--,Won WS (4-3),707,528,"850,180",28.9,29.6,B.Walters (6.7),B.McKechnie (100-53),Cincinnati Reds
1939,Cincinnati Reds,NL,156,97,57,2,0.63,0.614,1st of 8,--,Lost WS (4-0),767,595,"981,443",28.8,28.9,B.Walters (9.8),B.McKechnie (97-57),Cincinnati Reds
1938,Cincinnati Reds,NL,151,82,68,1,0.547,0.56,4th of 8,6,,723,634,"706,756",28.1,29.1,I.Goodman (5.9),B.McKechnie (82-68),Cincinnati Reds
1937,Cincinnati Reds,NL,155,56,98,1,0.364,0.435,8th of 8,40,,612,706,"411,221",28.6,28.8,L.Grissom (3.9),C.Dressen (51-78) and B.Wallace (5-20),Cincinnati Reds
1936,Cincinnati Reds,NL,154,74,80,0,0.481,0.477,5th of 8,18,,722,760,"466,345",28,28.1,K.Cuyler (3.8),C.Dressen (74-80),Cincinnati Reds
1935,Cincinnati Reds,NL,154,68,85,1,0.444,0.419,6th of 8,31.5,,646,772,"448,247",27.4,27.5,E.Lombardi (3.5),C.Dressen (68-85),Cincinnati Reds
1934,Cincinnati Reds,NL,152,52,99,1,0.344,0.364,8th of 8,42,,590,801,"206,773",29.7,29.1,B.Frey (4.6),"B.O'Farrell (30-60), B.Shotton (1-0) and C.Dressen (21-39)",Cincinnati Reds
1933,Cincinnati Reds,NL,153,58,94,1,0.382,0.383,8th of 8,33,,496,643,"218,281",30.8,31.5,C.Hafey (3.2),D.Bush (58-94),Cincinnati Reds
1932,Cincinnati Reds,NL,155,60,94,1,0.39,0.402,8th of 8,30,,575,715,"356,950",29.6,30.8,B.Herman (6.6),D.Howley (60-94),Cincinnati Reds
1931,Cincinnati Reds,NL,154,58,96,0,0.377,0.398,8th of 8,43,,592,742,"263,316",29.3,29.7,T.Cuccinello (5.2),D.Howley (58-96),Cincinnati Reds
1930,Cincinnati Reds,NL,154,59,95,0,0.383,0.386,7th of 8,33,,665,857,"386,727",29.6,30.4,H.Heilmann (4.6),D.Howley (59-95),Cincinnati Reds
1929,Cincinnati Reds,NL,155,66,88,1,0.429,0.453,7th of 8,33,,686,760,"295,040",29.7,32,R.Lucas (6.4),J.Hendricks (66-88),Cincinnati Reds
1928,Cincinnati Reds,NL,153,78,74,1,0.513,0.474,5th of 8,16,,648,686,"490,490",29.9,32.2,E.Rixey (4.0),J.Hendricks (78-74),Cincinnati Reds
1927,Cincinnati Reds,NL,153,75,78,0,0.49,0.493,5th of 8,18.5,,643,653,"442,164",29.8,31.2,R.Lucas (5.8),J.Hendricks (75-78),Cincinnati Reds
1926,Cincinnati Reds,NL,157,87,67,3,0.565,0.563,2nd of 8,2,,747,651,"672,987",29.9,30.7,C.Mays (4.2),J.Hendricks (87-67),Cincinnati Reds
1925,Cincinnati Reds,NL,153,80,73,0,0.523,0.532,3rd of 8,15,,690,643,"464,920",29.6,30.8,D.Luque (6.6),J.Hendricks (80-73),Cincinnati Reds
1924,Cincinnati Reds,NL,153,83,70,0,0.542,0.552,4th of 8,10,,649,579,"473,707",29.8,30.4,E.Rixey (5.2),J.Hendricks (83-70),Cincinnati Reds
1923,Cincinnati Reds,NL,154,91,63,0,0.591,0.554,2nd of 8,4.5,,708,629,"575,063",29.8,28.8,D.Luque (10.8),P.Moran (91-63),Cincinnati Reds
1922,Cincinnati Reds,NL,156,86,68,2,0.558,0.556,2nd of 8,7,,766,677,"493,754",29.1,27.7,J.Daubert (4.0),P.Moran (86-68),Cincinnati Reds
1921,Cincinnati Reds,NL,153,70,83,0,0.458,0.478,6th of 8,24,,618,649,"311,227",28.5,30,D.Luque (5.0),P.Moran (70-83),Cincinnati Reds
1920,Cincinnati Reds,NL,154,82,71,1,0.536,0.553,3rd of 8,10.5,,639,569,"568,107",29.2,27.8,E.Roush (5.9),P.Moran (82-71),Cincinnati Reds
1919,Cincinnati Reds,NL,140,96,44,0,0.686,0.661,1st of 8,--,Won WS (5-3),577,401,"532,501",29.1,27.4,H.Groh (5.4),P.Moran (96-44),Cincinnati Reds
1918,Cincinnati Reds,NL,129,68,60,1,0.531,0.53,3rd of 8,15.5,,530,496,"163,009",28.4,24.8,H.Groh (4.7),C.Mathewson (61-57) and H.Groh (7-3),Cincinnati Reds
1917,Cincinnati Reds,NL,157,78,76,3,0.506,0.492,4th of 8,20,,601,611,"269,056",27.7,25,H.Groh (7.0),C.Mathewson (78-76),Cincinnati Reds
1916,Cincinnati Reds,NL,155,60,93,2,0.392,0.409,7th of 8,33.5,,505,617,"255,846",27.3,25.9,H.Groh (5.3),"B.Herzog (34-49), I.Wingo (1-1) and C.Mathewson (25-43)",Cincinnati Reds
1915,Cincinnati Reds,NL,160,71,83,6,0.461,0.443,7th of 8,20,,516,585,"218,878",27.1,24.5,F.Toney (7.1),B.Herzog (71-83),Cincinnati Reds
1914,Cincinnati Reds,NL,157,60,94,3,0.39,0.407,8th of 8,34.5,,530,651,"100,791",26.7,25.3,B.Herzog (5.3),B.Herzog (60-94),Cincinnati Reds
1913,Cincinnati Reds,NL,156,64,89,3,0.418,0.424,7th of 8,37.5,,607,717,"258,000",27.3,28.2,J.Tinker (3.8),J.Tinker (64-89),Cincinnati Reds
1912,Cincinnati Reds,NL,155,75,78,2,0.49,0.456,4th of 8,29,,656,722,"344,000",26.5,26.9,G.Suggs (5.1),H.O'Day (75-78),Cincinnati Reds
1911,Cincinnati Reds,NL,159,70,83,6,0.458,0.484,6th of 8,29,,682,706,"300,000",26.7,28.1,G.Suggs (4.8),C.Griffith (70-83),Cincinnati Reds
1910,Cincinnati Reds,NL,156,75,79,2,0.487,0.455,5th of 8,29,,620,684,"380,622",26.2,27,G.Suggs (4.9),C.Griffith (75-79),Cincinnati Reds
1909,Cincinnati Reds,NL,157,77,76,4,0.503,0.505,4th of 8,33.5,,606,599,"424,643",25.9,28.1,A.Fromme (5.8),C.Griffith (77-76),Cincinnati Reds
1908,Cincinnati Reds,NL,155,73,81,1,0.474,0.451,5th of 8,26,,488,543,"399,200",27.8,30,H.Lobert (5.1),J.Ganzel (73-81),Cincinnati Reds
1907,Cincinnati Reds,NL,156,66,87,3,0.431,0.506,6th of 8,41.5,,526,519,"317,500",27.7,28,B.Ewing (6.2),N.Hanlon (66-87),Cincinnati Reds
1906,Cincinnati Reds,NL,155,64,87,4,0.424,0.46,6th of 8,51.5,,533,582,"330,056",29,29.9,J.Weimer (6.5),N.Hanlon (64-87),Cincinnati Reds
1905,Cincinnati Reds,NL,155,79,74,2,0.516,0.524,5th of 8,26,,736,698,"313,927",28.6,26.5,C.Seymour (8.0),J.Kelley (79-74),Cincinnati Reds
1904,Cincinnati Reds,NL,157,88,65,4,0.575,0.608,3rd of 8,18,,695,547,"391,915",29.1,26.6,N.Hahn (6.5),J.Kelley (88-65),Cincinnati Reds
1903,Cincinnati Reds,NL,141,74,65,2,0.532,0.57,4th of 8,16.5,,765,656,"351,680",29.9,28,N.Hahn (7.4),J.Kelley (74-65),Cincinnati Reds
1902,Cincinnati Reds,NL,141,70,70,1,0.5,0.551,4th of 8,33.5,,633,566,"217,300",28.2,26.1,N.Hahn (9.0),"B.McPhee (27-37), F.Bancroft (9-7) and J.Kelley (34-26)",Cincinnati Reds
1901,Cincinnati Reds,NL,142,52,87,3,0.374,0.334,8th of 8,38,,561,818,"205,728",26.9,26.1,N.Hahn (7.5),B.McPhee (52-87),Cincinnati Reds
1900,Cincinnati Reds,NL,144,62,77,5,0.446,0.473,7th of 8,21.5,,703,745,"170,000",28.1,26.3,N.Hahn (6.2),B.Allen (62-77),Cincinnati Reds
